config,question,answer,contexts,ground_truth,f1,bert_f1
Setup_Model4,What is normal body temperature?,"Normal body temperature is 98.6°F (37°C). The body maintains stability within this range by balancing heat produced by metabolism with heat lost to the environment. This temperature is controlled by the ""thermostat"" located in the hypothalamus, a small structure in the brain.","['average being 98.6°F (37°C). The body maintains stabili-\nty within this range by balancing the heat produced by the\nmetabolism with the heat lost to the environment. The\n“thermostat” that controls this process is located in the\nhypothalamus, a small structure located deep within the\nbrain. The nervous system constantly relays information\nabout the body’s temperature to the thermostat, which in\nturn activates different physical responses designed to\nGALE ENCYCLOPEDIA OF MEDICINE 2 1313\nFever', 'Description\nFever is a natural response of the body that helps in\nfighting off foreign substances, such as microorganisms,\ntoxins, etc. Body temperature is set by the thermoregula-\ntory center, located in an area in the brain called hypo-\nthalamus. Body temperature is not constant all day, but\nactually is lowest at 6 A.M. and highest around 4–6 P.M. In\naddition, temperature varies in different regions of the\nbody; for example, rectal and urine temperatures are']","Normal body temperature averages 37°C (98.6°F). It varies slightly with time of day, activity, and age, but remains tightly regulated by hypothalamic control.",0.15384615384615383,0.8351084589958191
Setup_Model4,What is blood pressure?,I couldn't find a definitive answer in the provided medical documents for this question. Please provide more context or rephrase your query.,"['Glycemic—The presence of glucose in the blood.\nHypertension —Abnormally high blood pressure\nin the arteries.\nLegumes —A family of plants that bear edible\nseeds in pods, including beans and peas.\nLipid—Any of a variety of substances that, along\nwith proteins and carbohydrates, make up the\nmain structural components of living cells.\nPolyunsaturated fats —A non-animal oil or fatty\nacid rich in unsaturated chemical bonds not associ-\nated with the formation of cholesterol in the blood.', 'when one rises to a standing position. Also known\nas postural hypotension.\nOsmotic pressure— Pressure that occurs when two\nsolutions of differing concentrations are separated\nby a semipermeable membrane, such as a cellular\nwall, and the lower concentration solute is drawn\nacross the membrane into the higher concentra-\ntion solute (osmosis).\nTetany—A disorder of the nervous system charac-\nterized by muscle cramps, spasms of the arms and\nlegs, and numbness of the extremities.']","Blood pressure is the force exerted by circulating blood on arterial walls, expressed as systolic over diastolic pressure, reflecting cardiac output and vascular resistance.",0.043478260869565216,0.6675668954849243
Setup_Model4,What is hypertension?,"Based on the provided context, hypertension is defined as chronic elevation in blood pressure, specifically greater than 140/90 mm Hg. It is a multifactorial condition influenced by environmental, dietary, genetic, and neurohormonal factors. Hypertension is a common condition, affecting 23% of non-Hispanic white adults and 32% of non-Hispanic black adults in the United States.","['genetic, and neurohormonal factors all contribute\n• Most patients are asymptomatic; some, however, complain of\nheadache, epistaxis, or blurred vision if hypertension is severe\n• Most diagnostic study abnormalities are referable to “target organ”\ndamage: heart, kidney, brain, retina, and peripheral arteries\n■ Differential Diagnosis\nSecondary causes of hypertension:\n• Coarctation of the aorta\n• Renal insufﬁciency\n• Renal artery stenosis\n• Pheochromocytoma\n• Cushing’s syndrome', '20 Current Essentials of Medicine\n1 Hypertension\n■ Essentials of Diagnosis\n• In most patients (95% of cases), no cause can be found\n• Chronic elevation in blood pressure (> 140/90 mm Hg) occurs in\n23% of non-Hispanic white adults and 32% of non-Hispanic black\nadults in the United States; onset is usually between ages 20 and 55\n• The pathogenesis is multifactorial: Environmental, dietary,\ngenetic, and neurohormonal factors all contribute']","Hypertension is a chronic condition where blood pressure persistently exceeds 140/90 mmHg, increasing risk of heart disease, stroke, kidney damage, and other complications.",0.23376623376623373,0.8015260696411133
Setup_Model4,What is hemoglobin?,"Hemoglobin is the oxygen-carrying pigment found in red blood cells. It is a large molecule made in the bone marrow from two components, heme and globin.","['Hemoglobin is the oxygen-carrying pigment found\nin red blood cells. It is a large molecule made in the bone\nmarrow from two components, heme and globin.\nDefects in hemoglobin production may be either\ngenetic or acquired. The genetic defects are further sub-\ndivided into errors of heme production (porphyria), and\nthose of globin production (known collectively as the\nhemoglobinopathies).\nThere are two categories of hemoglobinopathy. In\nthe first category, abnormal globin chains give rise to', 'Fetal hemoglobin (Hemoglobin F), Alkali-resistant\nhemoglobin, HBF (or Hb F), is the major hemoglobin\ncomponent in the bloodstream of the fetus. After birth, it\ndecreases rapidly until only traces are found in normal\nchildren and adults.\nPurpose\nThe determination of fetal hemoglobin is an aid in\nevaluating low concentrations of hemoglobin in the\nblood (anemia), as well as the hereditary persistence of\nfetal hemoglobin, and a group of inherited disorders']",Hemoglobin is an iron-containing protein in red blood cells responsible for transporting oxygen from lungs to tissues and returning carbon dioxide to lungs.,0.28571428571428575,0.8643122315406799
Setup_Model4,What is anemia?,"Anemia is a condition in which there is an abnormally low number of red blood cells in the bloodstream. It can also be defined as a condition in which the hemoglobin concentration in the blood is below normal. Major symptoms of anemia include paleness, shortness of breath, unusually fast or strong heart beats, and tiredness.","['Anemia—A condition in which there is an abnor-\nmally low number of red blood cells in the blood-\nstream. Major symptoms are paleness, shortness of\nbreath, unusually fast or strong heart beats, and\ntiredness.\nAntibody —A protein molecule produced by the\nimmune system in response to a protein that is not\nrecognized as belonging in the body.\nAntigen —A protein that can elicit an immune\nresponse in the form of antibody formation. With\nregard to red blood cells, the major antigens are A,', 'Anemia—A condition in which the hemoglobin\nconcentration in the blood is below normal.\nPolycythemia vera—A condition characterized by\nan unusually large number of red blood cells in\nthe blood due to increased production by the\nbone marrow. Symptoms include headaches,\nblurred vision, high blood pressure, dizziness, and\nnight sweats.\nSecondary polycythemia —Secondary polycythe-\nmia occurs when the excess of red blood cells is\ncaused by a condition other than polycythemia']","Anemia is a condition characterized by reduced hemoglobin or red blood cells, leading to decreased oxygen delivery, causing fatigue, weakness, pallor, and shortness of breath.",0.275,0.8682796955108643
Setup_Model4,What is heart rate?,I couldn't find a definitive answer in the provided medical documents for this question. Please provide more context or rephrase your query.,"['when a symptom is detected.\nFibrillation—Rapid, random contraction (quivering).\nHolter monitor —A small machine, worn by a\npatient usually for 24 hours, that continuously\nrecords the patient’s EKG during usual daily activity.\nStress test —Recording a patient’s EKG during\nexercise.\nSupraventricular tachycardia —A fast heart beat\nthat originates above the ventricles.\nTachycardia—Fast heartbeat.\nVascular—Pertaining to blood vessels.\n• accessory (extra) pathways\n• bradycardias\nResources\nBOOKS', 'www.nrcpr.org/>.\nUniversity of Washington School of Medicine. <http://depts.\nwashington.edu/learncpr/>.\nL. Fleming Fallon, Jr., MD, DrPH\nCardioversion\nDefinition\nCardioversion refers to the process of restoring the\nheart’s normal rhythm by applying a controlled electric\nshock to the exterior of the chest.\nPurpose\nWhen the heart beats too fast, blood no longer circu-\nlates effectively in the body. Cardioversion is used to\nstop this abnormal beating so that the heart can begin']",Heart rate is the number of heartbeats per minute. Normal resting rate in adults ranges from 60 to 100 beats per minute.,0.09090909090909091,0.6456568837165833
Setup_Model4,What is myocardial infarction?,"Myocardial infarction is when the heart is deprived of oxygen. This occurs when the coronary arteries are unable to expand, limiting the flow of oxygen-rich blood to the heart. The resulting lack of oxygen can cause damage to the heart muscle. It is also referred to as a heart attack.","['ents to the heart. It is caused by atherosclerosis, an accu-\nmulation of fatty materials on the inner linings of arter-\nies. The resulting blockage restricts blood flow to the\nheart. When the blood flow is completely cut off, the\nresult is a heart attack.\nDescription\nCoronary artery disease, also called coronary heart\ndisease or heart disease, is the leading cause of death for\nboth men and women in the United States. According to\nthe American Heart Association, in 1995 one in every 4.8', 'Coronary artery disease occurs when the coronary\narteries become partially blocked or clogged. This block-\nage limits the flow of blood from the coronary arteries,\nwhich are the major arteries supplying oxygen-rich blood\nto the heart. The coronary arteries expand when the heart\nis working harder and needs more oxygen. Arteries\nwould expand, for example, when a person is climbing\nstairs, exercising, or having sex. If the arteries are unable\nto expand, the heart is deprived of oxygen (myocardial']","Myocardial infarction occurs when blood flow to heart muscle is blocked, causing tissue death due to oxygen deprivation, commonly known as a heart attack.",0.35135135135135137,0.8896966576576233
Setup_Model4,What is angina pectoris?,"Angina pectoris is generally caused by atherosclerotic coronary artery disease and severe coronary obstruction. It is characterized by pressure-like episodic precordial chest discomfort, typically precipitated by exertion or stress, and relieved by rest.","['4 Current Essentials of Medicine\n1 Angina Pectoris\n■ Essentials of Diagnosis\n• Generally caused by atherosclerotic coronary artery disease and\nsevere coronary obstruction; cigarette smoking, diabetes mellitus,\nhypertension, hypercholesterolemia, and family history are estab-\nlished risk factors\n• Stable angina characterized by pressure-like episodic precordial\nchest discomfort, precipitated by exertion or stress, relieved by rest', '34 Current Essentials of Medicine\n1 Unstable Angina\n■ Essentials of Diagnosis\n• Spectrum of illness between chronic stable angina and acute\nmyocardial infarction\n• Characterized by accelerating angina, pain at rest, or pain less\nresponsive to medications\n• Usually due to atherosclerotic plaque rupture, spasm, hemor-\nrhage, or thrombosis\n• Chest pain resembles typical angina but is more severe and lasts\nlonger (up to 30 minutes)\n• ECG may show dynamic ST-segment depression or T-wave']","Angina is chest discomfort caused by reduced blood supply to heart muscle, often triggered by exertion or stress, relieved by rest or medication.",0.32142857142857145,0.8629336357116699
Setup_Model4,What is atherosclerosis?,"Atherosclerosis is an accumulation of fatty materials on the inner linings of arteries. This accumulation can lead to a blockage, restricting blood flow to the heart. It is also sometimes referred to as coronary artery disease (CAD).","['ents to the heart. It is caused by atherosclerosis, an accu-\nmulation of fatty materials on the inner linings of arter-\nies. The resulting blockage restricts blood flow to the\nheart. When the blood flow is completely cut off, the\nresult is a heart attack.\nDescription\nCoronary artery disease, also called coronary heart\ndisease or heart disease, is the leading cause of death for\nboth men and women in the United States. According to\nthe American Heart Association, in 1995 one in every 4.8', 'flow to the heart. Atherosclerosis is sometimes\ncalled coronary artery disease, or CAD.\nFractionation —A laboratory test or process in\nwhich blood or another fluid is broken down into\nits components. Fractionation can be used to assess\nthe proportions of the different types of cholesterol\nin a blood sample.\nHigh-density lipoprotein (HDL)—A type of lipopro-\ntein that protects against CAD by removing choles-\nterol deposits from arteries or preventing their for-\nmation.']","Atherosclerosis is buildup of fatty plaques in arteries, narrowing them and reducing blood flow, increasing risk of heart attack, stroke, and peripheral vascular disease.",0.1639344262295082,0.8514496088027954
Setup_Model4,What is respiration?,"I couldn't find a direct definition of ""respiration"" in the provided context. However, it is related to the respiratory system and the process of exchanging oxygen and carbon dioxide. The context mentions ""Respiratory distress syndrome"" and ""Pulmonary hypertension,"" which are conditions affecting the lungs. Based on this, respiration likely refers to the process of breathing and gas exchange in the lungs.","['Digestion—The mechanical, chemical, and enzy-\nmatic process in which food is converted into the\nmaterials suitable for use by the body.\nEnzyme—A substance produced by the body to\nassist in a chemical reaction. In carbohydrate\nintolerance, lack of an enzyme makes it impossi-\nble for one type of sugar to be broken down into a\nsimpler form so that it can be absorbed by the\nintestines and used by the body.\nMetabolism —All the physical and chemical\nchanges that take place within an organism.', 'fere with lung expansion.\nMembrane oxygenator —The artificial lung that\nadds oxygen and removes carbon dioxide.\nPulmonary hypertension—A disorder in which the\nblood pressure in the arteries supplying the lungs\nis abnormally high.\nRespiratory distress syndrome —A lung disorder\nusually of premature infants that causes increasing\ndifficulty in breathing, leading to a life-threatening\ndeficiency of oxygen in the blood.\nVenoarterial (V-A) bypass —The type of ECMO']","Respiration is the process of inhaling oxygen and exhaling carbon dioxide, involving lungs and blood circulation to maintain cellular metabolism and energy production.",0.21428571428571427,0.7863730788230896
